"","x"
"1","Citrate cycle (TCA cycle)"
"2","Oxidative phosphorylation"
"3","Fatty acid degradation"
"4","Valine, leucine and isoleucine degradation"
"5","Metabolism of xenobiotics by cytochrome P450"
"6","Drug metabolism - cytochrome P450"
"7","Glycolysis / Gluconeogenesis"
"8","Butanoate metabolism"
"9","Pyruvate metabolism"
"10","Fructose and mannose metabolism"
"11","Galactose metabolism"
"12","Pentose phosphate pathway"
