"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"HBB",6.8661,6.4657,6.499,6.5578,6.2769,6.0206,6.2578,6.0852,5.9545,6.4242,6.221,6.3265,6.433,6.0712,6.2775,5.6313,6.1143,6.3826,6.6063,6.0697,6.1233,6.3521,5.8566,6.51152,6.40661,6.46154,6.23764,6.62194,6.24851,6.48438,6.875,6.26631,6.79434,6.47844,6.13719,6.28806,6.17636,6.26571,5.71613,6.00942,5.79026,6.12577,6.06696,6.62858,5.46055,6.35625,6.9419,6.804,5.8883,6.1962,6.1921,6.4954,6.0471,5.9067,6.4414,6.0341,6.8568,5.6065,6.5014,5.6582,6.4876,6.3315,6.364,6.9113,6.2925,6.3689,5.9188,7.0222,6.2211,6.24915,6.16742,6.5614,6.61827,6.62584,6.06191,6.09962,6.85806,6.20974,5.96625,6.06475,6.07643,6.54803,6.17531,6.84026,6.21694,7.18822,7.07225,6.64489,5.80581,6.60253,6.74464,6.70619
"HBA1",7.1752,6.7258,6.8047,6.4945,6.3541,6.0973,6.2706,6.3977,6.1982,6.723,6.1487,6.5909,6.4818,6.0912,6.3054,5.646,6.1072,6.5808,6.6903,6.0496,6.0924,6.3184,5.8057,6.52409,6.27947,6.40922,6.11801,6.55266,5.95743,6.38017,6.77047,6.18598,6.64797,6.33805,5.80326,6.17248,6.04102,6.08767,5.55615,5.86916,5.76223,5.99394,5.92071,6.81635,5.43796,6.29147,6.8905,6.7508,5.8062,6.0891,5.9856,6.4441,5.8599,6.1167,6.0707,5.9337,6.7787,5.4885,6.3794,5.5746,6.2091,6.1398,6.3504,6.8261,6.0873,6.1268,5.8657,6.9835,6.0474,6.13041,5.86064,6.45623,6.51032,6.49309,6.01125,5.95426,6.13049,6.03651,5.81397,5.98911,5.87168,6.07707,5.87939,6.697,5.97384,6.93072,7.01171,6.22853,5.67107,6.49081,6.67999,6.56962
"FTL",7.0248,6.6737,6.7622,6.4991,6.3734,6.0533,6.2635,6.3605,6.1475,6.6218,6.0881,6.5585,6.4394,6.0198,6.3368,5.7106,6.1728,6.5324,6.4966,6.1342,6.1344,6.338,5.7742,6.38889,6.23473,6.28417,6.09582,6.45323,6.05709,6.26904,6.71774,6.12303,6.92312,6.34129,5.84434,6.3972,6.04474,6.01928,5.55615,5.94293,5.72049,5.97867,5.90025,6.69015,5.40291,6.31011,6.798,6.6644,5.7851,6.2061,6.0754,6.4492,5.8144,6.0793,6.0732,5.8074,6.6171,5.5892,6.3249,5.572,6.2218,6.2003,6.3218,6.7326,6.1376,6.2552,5.7935,6.7745,6.0261,6.09137,5.95503,6.1999,6.30267,6.55769,6.10351,5.94539,6.67896,5.88658,5.91204,5.95233,5.90581,6.50573,6.07123,6.70377,6.06581,6.88445,6.91444,6.71705,5.76197,6.42328,6.56001,6.37069
"RPL32",7.0026,6.622,6.6362,6.3923,6.4868,5.868,5.9847,6.3158,6.1667,6.5291,5.9205,6.4232,6.2776,6.013,6.0182,5.569,5.9748,6.4028,6.3369,6.0424,6.042,6.0591,5.6629,6.15627,6.23554,6.25364,6.03318,6.32621,5.94247,6.3111,6.42479,5.94843,6.96553,6.12846,5.70163,6.36556,5.87106,6.22368,5.57639,5.87132,5.68291,5.80347,5.72012,6.59397,5.38141,6.36156,6.551,6.4025,5.6789,6.0871,5.9754,6.2102,5.6587,6.2182,6.2538,5.8152,6.51,5.4268,6.169,5.5282,5.9753,5.9114,5.8626,6.4573,5.862,6.1936,5.6074,6.6947,5.9447,6.09001,5.77953,6.34837,6.28412,6.29937,5.93701,5.92678,6.38521,6.14211,5.86019,5.94777,5.77099,6.4929,5.73018,6.67603,5.83081,6.37036,6.69744,6.39045,5.66596,6.30864,6.55551,6.54467
"FTH1",7.0413,6.6022,6.6006,6.3182,6.1939,5.9275,6.039,6.1321,6.0042,6.6291,5.9053,6.5671,6.2712,5.7594,6.1106,5.5918,5.9283,6.3645,6.3803,5.8586,5.975,6.1674,5.5627,6.2775,6.02796,6.1889,5.98369,6.3489,5.95409,6.18435,6.53526,5.99316,6.93803,6.0561,5.81228,6.42333,5.9256,5.9526,5.36149,5.81188,5.63076,5.82912,5.79854,6.77626,5.25981,6.18683,6.6296,6.513,5.775,6.1441,5.8643,6.3509,5.7048,6.2437,6.0881,5.7016,6.5315,5.5106,6.1644,5.5126,6.2119,6.0355,6.1857,6.5402,5.9674,6.1093,5.7213,6.5823,5.7755,5.88958,5.85319,6.12286,6.08936,6.37712,6.03629,5.64929,6.76796,5.79007,5.77842,5.83278,5.78663,6.66945,6.00754,6.54729,5.86854,6.846,6.5896,6.80661,5.59615,6.21266,6.35314,6.21489
"ACTB",6.7143,6.2908,6.358,6.2504,5.9853,5.7874,5.9522,5.9916,5.8239,6.3683,5.9414,6.2922,6.0628,5.803,6.083,5.5203,5.8363,6.2304,6.2673,5.9048,5.9602,6.0564,5.5879,6.17473,6.05953,6.1475,5.93423,6.276,6.03001,6.13823,6.60443,5.93873,6.4929,6.184,5.91542,6.1249,5.97012,5.96485,5.52263,5.76891,5.51981,5.84251,5.81933,6.48743,5.24203,6.03031,6.5567,6.5481,5.6626,5.989,5.9193,6.2828,5.8496,5.8229,6.1953,5.7028,6.4889,5.3729,6.2187,5.4213,6.2615,6.0948,6.1053,6.6239,5.9981,6.093,5.6527,6.5872,5.9715,5.94557,5.97488,6.26917,6.23054,6.3509,5.89947,5.83302,6.805,5.92065,5.68842,5.82155,5.81428,6.44542,6.05349,6.59677,6.04534,6.94829,6.65409,6.42635,5.60308,6.24866,6.40281,6.37591
"RPL37A",6.8415,6.4874,6.6115,6.3109,6.4827,5.8628,5.857,6.2354,6.0914,6.4241,5.8457,6.2098,6.142,5.9174,6.0187,5.5344,5.9626,6.2359,6.2866,5.9768,6.034,5.9582,5.6341,6.12982,6.00676,6.08468,5.92897,6.26389,5.78621,6.23417,6.29517,5.94818,6.87405,5.96739,5.62038,6.27249,5.70502,6.12573,5.54269,5.85208,5.54653,5.74228,5.63193,6.45566,5.32163,6.20095,6.4429,6.2104,5.553,6.0047,5.905,6.0998,5.5434,6.1339,6.0685,5.7417,6.3962,5.3367,6.1033,5.3972,5.9496,5.7509,5.8382,6.2211,5.8399,6.1154,5.6111,6.493,5.7874,5.99016,5.73134,6.3169,6.05747,6.14503,5.82593,5.84105,6.31296,6.01994,5.73324,5.86113,5.70796,6.40901,5.69336,6.485,5.73181,6.15322,6.49695,6.33218,5.56279,6.26316,6.40016,6.29835
"TMSB4X",6.8637,6.5884,6.3814,6.1119,6.1863,5.8643,5.9526,6.3704,6.1362,6.6623,5.8116,6.5752,6.1014,5.9841,5.8861,5.5036,5.9388,6.354,6.0028,5.8761,5.8132,6.0591,5.6185,5.98404,5.92066,5.8536,5.86776,6.09943,5.92236,5.98307,6.50177,5.90973,6.69036,6.05283,5.67568,6.16301,5.85936,5.95132,5.54881,5.77745,5.58734,5.71942,5.77476,6.71141,5.21586,6.07053,6.3022,6.4525,5.6432,5.9908,5.8638,6.12,5.6468,6.1115,6.0748,5.6433,6.2788,5.3814,6.0619,5.4507,6.0113,5.9649,6.0029,6.3369,5.8903,6.0339,5.6236,6.4415,5.8887,5.92063,5.84169,6.08077,6.00339,6.18978,5.88111,5.77855,6.58066,5.85143,5.64783,5.72765,5.67984,6.39554,5.82324,6.43581,5.85978,6.48445,6.47677,6.40314,5.48402,6.12099,6.24681,6.17573
"RPL23A",6.8865,6.432,6.5302,6.25,6.3729,5.8655,5.9412,6.19,6.0273,6.4941,5.8021,6.211,6.1284,5.9298,5.9734,5.602,5.943,6.2487,6.1509,5.9637,5.9773,5.9506,5.6454,6.13383,5.98004,6.08105,5.90505,6.15261,5.80073,6.13549,6.35948,5.88456,6.84729,6.0066,5.646,6.36464,5.70672,6.03928,5.50885,5.82449,5.56723,5.75142,5.62764,6.35606,5.32084,6.16524,6.4566,6.2987,5.596,5.9602,5.8927,6.0362,5.5319,6.0584,6.101,5.7213,6.3162,5.4125,6.0989,5.4051,6.0318,5.8323,5.8922,6.2638,5.8922,6.0597,5.5608,6.4146,5.7968,5.91495,5.72597,6.24513,6.0925,6.1946,5.7948,5.74702,6.31379,5.93398,5.68201,5.81568,5.72222,6.35783,5.72183,6.51356,5.75608,6.32238,6.43853,6.3645,5.52522,6.14868,6.30721,6.34124
"COX2",6.8659,6.3836,6.5126,6.206,6.1194,5.8758,6.0148,6.1589,5.9361,6.3774,5.8841,6.2017,6.2046,5.8457,6.0357,5.5449,5.9456,6.2884,6.1179,5.9626,5.8359,5.9628,5.6942,6.13551,5.91494,6.01695,5.79732,6.18828,5.8629,6.06143,6.42749,5.90326,6.29373,6.12988,5.68828,6.24209,5.86171,5.86903,5.49374,5.65574,5.56272,5.82058,5.75493,6.33486,5.3022,6.08747,6.4515,6.4217,5.5802,5.9985,5.8943,6.2099,5.6183,5.7389,5.9232,5.6654,6.37,5.3563,6.0846,5.3058,6.08,5.876,5.9738,6.3038,5.8864,6.1393,5.6129,6.1931,5.855,5.80347,5.79861,6.00313,6.00353,6.171,5.81578,5.69525,6.44874,5.66319,5.653,5.80683,5.70387,6.26087,5.79722,6.35185,5.87581,6.5565,6.44787,6.47857,5.55175,6.11007,6.08198,6.09588
"EEF1A1",6.7682,6.4426,6.4573,6.1096,6.3297,5.7282,5.8843,6.0702,5.9252,6.4043,5.6214,6.2958,5.9247,5.8618,5.911,5.389,5.8864,6.2837,6.0624,5.8573,5.7773,6.0105,5.409,5.97151,5.92933,6.04957,5.92202,6.14509,5.95692,6.06377,6.31214,5.89576,6.75508,5.98762,5.70605,6.2027,5.75513,6.01316,5.57899,5.75594,5.39759,5.661,5.61113,6.4041,5.136,6.07385,6.3938,6.2977,5.5029,5.8881,5.875,6.0506,5.5939,5.9909,6.1784,5.6003,6.308,5.2199,6.03,5.3015,5.9235,5.912,5.7981,6.2101,5.8611,5.9122,5.5355,6.4115,5.8349,5.9766,5.79154,6.25213,6.16192,6.14004,5.67733,5.7199,6.62409,5.9438,5.63293,5.73562,5.62832,6.47404,5.77163,6.5117,5.77007,6.43906,6.49381,6.42704,5.44583,6.18761,6.29841,6.24765
"RPS4X",6.7501,6.3289,6.326,6.1808,6.2366,5.6517,5.7295,5.937,5.8486,6.4019,5.8104,6.1303,6.0473,5.7293,5.8023,5.4339,5.7591,6.1176,6.0001,5.8211,5.8378,5.7126,5.5094,6.14208,5.99975,5.93001,5.89372,6.13689,5.80701,6.14695,6.39954,5.97429,6.71696,6.05745,5.54642,6.1991,5.62534,5.9612,5.45625,5.77893,5.50282,5.72964,5.57309,6.28289,5.22865,6.08285,6.4426,6.3116,5.4965,5.9519,5.7971,6.0272,5.6189,5.838,6.0659,5.778,6.4224,5.2315,6.1199,5.3352,5.969,5.771,5.7973,6.3165,5.7966,5.9655,5.6631,6.4632,5.8954,5.91353,5.75036,6.19749,6.10375,6.26268,5.72598,5.67298,6.38993,5.96461,5.59951,5.77671,5.74522,6.46042,5.68124,6.4125,5.73124,6.25218,6.4994,6.39399,5.50953,6.17839,6.32097,6.31149
"RPL14",6.928,6.5274,6.5347,6.2266,6.5648,5.8951,5.9171,6.2554,6.1387,6.6342,5.8383,6.4096,6.2256,6.0075,5.9758,5.4627,5.9293,6.3078,6.2264,5.9136,5.9685,5.9174,5.5048,6.04193,5.97249,5.96962,5.80882,6.10121,5.78085,6.0698,6.23597,5.75611,6.62586,5.84056,5.61432,6.097,5.69004,6.00763,5.38445,5.61791,5.51981,5.63597,5.57925,6.51662,5.19866,6.07955,6.3257,6.1638,5.518,5.8757,5.7315,5.8886,5.5165,6.2624,5.9995,5.6195,6.2544,5.2746,5.9236,5.2969,5.9408,5.6803,5.7327,6.1178,5.7558,5.8778,5.4673,6.3297,5.7308,5.81922,5.71237,6.10028,6.01773,6.0403,5.64834,5.70523,6.22372,5.77081,5.56964,5.69404,5.57552,6.33955,5.563,6.40879,5.6839,6.23244,6.39837,6.33757,5.39623,6.08679,6.2465,6.32698
"TMSB10",6.8982,6.5438,6.6071,6.3258,6.354,5.8967,5.9913,6.1733,6.0421,6.5413,5.9247,6.3333,6.1424,5.8708,6.1289,5.5425,5.9687,6.3158,6.1184,5.9947,6.0644,6.1337,5.6166,6.07609,5.88397,5.96023,5.8268,6.07868,5.65038,6.0027,6.20656,5.86139,6.80999,5.88317,5.59937,6.19923,5.72927,5.90483,5.36872,5.64185,5.52584,5.54679,5.59883,6.54151,5.26896,6.1054,6.2835,6.0935,5.6029,5.9538,5.7049,5.9991,5.4208,5.9565,5.8904,5.5729,6.1066,5.2814,5.9485,5.3506,5.6635,5.7775,5.8169,6.1703,5.6831,5.8674,5.5835,6.4305,5.679,5.85728,5.71076,6.12825,5.94555,6.05979,5.77521,5.67064,6.17801,5.83013,5.52282,5.70349,5.52391,6.32213,5.52586,6.2012,5.64471,6.13138,6.47428,6.42704,5.4727,6.14587,6.34187,6.22253
"RPL37",6.799,6.355,6.373,6.1018,6.4337,5.7168,5.7752,6.1298,6.0012,6.417,5.5776,6.3141,5.9512,5.8529,5.7558,5.3865,5.7539,6.1837,5.9391,5.9053,5.8176,5.8526,5.3208,6.00242,5.88279,5.89263,5.76861,6.07093,5.69633,6.09302,6.26306,5.83992,6.73277,5.92886,5.59076,6.09243,5.6817,6.04244,5.49374,5.74396,5.37686,5.60589,5.53577,6.44922,5.09374,6.09238,6.3334,6.2125,5.4935,5.8741,5.745,5.9954,5.5172,6.0839,6.166,5.5842,6.247,5.1882,6.0064,5.2365,5.8652,5.7603,5.7252,6.0742,5.6763,5.9503,5.4626,6.4007,5.794,5.89923,5.66337,6.27776,6.03349,6.02271,5.78488,5.67438,6.26546,5.90655,5.61463,5.65804,5.6086,6.35489,5.62845,6.46618,5.60879,6.34376,6.36142,6.09906,5.37895,6.22955,6.2752,6.2326
"RPLP2",6.9043,6.5079,6.5207,6.172,6.3961,5.7885,5.8743,6.1232,5.9659,6.4688,5.798,6.2694,6.0751,5.8096,5.8468,5.3979,5.8036,6.2194,6.0205,5.9532,5.8726,5.8892,5.5451,6.03073,5.84677,5.88816,5.66914,6.06695,5.6726,6.0027,6.21762,5.74544,6.71891,5.90129,5.49789,6.19885,5.57286,5.94056,5.35461,5.7235,5.44522,5.64609,5.4778,6.45158,5.15954,6.05872,6.3652,6.0454,5.4186,5.8899,5.7559,5.9193,5.311,6.0543,5.9404,5.588,6.2793,5.2335,5.9238,5.2797,5.7642,5.6231,5.7611,6.1307,5.7814,5.8945,5.4015,6.1619,5.6667,5.75065,5.54777,6.03084,5.97129,5.995,5.66341,5.59776,6.14795,5.70969,5.63661,5.69794,5.58659,6.26715,5.58539,6.18695,5.55706,6.09164,6.30663,6.3517,5.43197,6.01166,6.19265,6.11742
"RPL19",6.7992,6.4161,6.5092,6.1955,6.4239,5.7429,5.8733,6.1598,5.9759,6.3956,5.6506,6.1479,5.981,5.8265,5.8925,5.4268,5.8168,6.1807,6.0773,5.8897,5.8686,5.8287,5.4013,5.93623,5.96684,6.00243,5.74359,6.07885,5.66193,6.09947,6.11022,5.69908,6.62794,5.81541,5.45429,6.13409,5.583,5.98687,5.40742,5.63128,5.47174,5.58602,5.47045,6.36398,5.24009,6.15218,6.2946,6.072,5.4634,5.8283,5.6773,5.8186,5.3665,6.0376,5.9568,5.5856,6.1777,5.195,5.9221,5.2239,5.7523,5.5632,5.7295,6.0091,5.6244,5.8584,5.374,6.4149,5.6428,5.86397,5.52938,6.13047,5.9691,5.89872,5.63634,5.69202,6.10804,5.82401,5.52475,5.67339,5.5194,6.27792,5.48052,6.37688,5.64823,6.13618,6.32041,6.29711,5.38323,6.06873,6.25792,6.26545
"NACA",6.6533,6.1976,6.3295,6.1056,6.0905,5.6211,5.6781,5.9295,5.7804,6.3786,5.6218,6.0255,5.9868,5.6571,5.7445,5.2741,5.6884,6.0198,6.1305,5.6961,5.8021,5.7761,5.4439,5.92836,5.80023,5.8454,5.58518,6.09683,5.71345,6.00857,6.21866,5.87975,6.68523,5.8847,5.46947,6.19588,5.63223,5.89088,5.33145,5.68498,5.36535,5.59447,5.50803,6.25022,5.18372,5.9961,6.2629,6.2224,5.3151,5.8064,5.7289,5.9533,5.4618,5.7609,6.032,5.5739,6.2175,5.2787,5.9368,5.3127,5.8536,5.6993,5.7008,6.173,5.6434,5.8849,5.4751,6.3631,5.625,5.78492,5.60253,6.13173,5.84149,5.98466,5.742,5.59431,6.5278,5.86554,5.34518,5.66869,5.62289,6.47798,5.58422,6.35096,5.5944,6.42075,6.4042,6.41873,5.40852,6.08103,6.24106,6.17385
"RPL30",6.6837,6.3894,6.3833,5.9694,6.4245,5.6486,5.8196,6.1614,5.8653,6.2945,5.6412,6.2813,5.8752,5.7589,5.8149,5.3191,5.8102,6.1695,5.8948,5.8838,5.7313,5.7465,5.3942,6.00143,5.90344,5.83169,5.80701,5.95488,5.81128,6.05771,6.0866,5.66904,6.69107,5.75406,5.50789,6.11539,5.69979,6.00948,5.53945,5.67428,5.36483,5.46514,5.42325,6.44873,5.17227,5.98654,6.3487,6.1296,5.4481,5.8002,5.7267,5.9328,5.4503,6.0406,6.1099,5.4965,6.2294,5.2,5.8719,5.2423,5.6442,5.5722,5.6336,6.0376,5.6481,5.8289,5.3596,6.235,5.8052,5.91877,5.63885,6.24382,6.05644,5.88786,5.5543,5.69939,6.22372,5.84311,5.59366,5.67591,5.4865,6.32787,5.49724,6.43202,5.49722,6.01619,6.35316,6.02437,5.22286,6.13104,6.18926,6.21755
"RPS11",6.8032,6.3828,6.3956,6.1708,6.233,5.6565,5.6938,6.0235,5.7632,6.3625,5.6672,6.1853,5.8865,5.645,5.9264,5.2507,5.7334,6.1286,6.0777,5.7058,5.7409,5.8906,5.3542,6.08066,5.72513,5.88928,5.76333,6.10864,5.55675,5.98916,6.15554,5.82894,6.54584,5.95228,5.58968,6.04725,5.68488,5.96295,5.44502,5.65368,5.50798,5.64188,5.55525,6.33553,5.17256,6.01001,6.3381,6.1675,5.5416,5.8896,5.6961,6.0163,5.4941,5.8099,5.7478,5.6348,6.317,5.2731,5.9943,5.3176,5.709,5.7297,5.7496,6.2314,5.8182,5.6499,5.4701,6.2687,5.5515,5.91079,5.54695,6.17667,5.9717,6.09404,5.64901,5.54355,5.80963,5.86779,5.54775,5.75506,5.50593,6.01541,5.47027,6.10524,5.4706,6.10728,6.47732,6.09587,5.35636,6.09696,6.24464,6.19831
"RPS12",6.6721,6.2583,6.3124,6.0577,6.2058,5.6899,5.8288,5.9585,5.8089,6.2504,5.7804,6.1394,6.0168,5.7296,5.9558,5.366,5.8123,6.2192,5.9268,5.8055,5.7929,5.8409,5.4649,6.00072,5.80101,5.81885,5.65075,5.95613,5.73622,5.93399,6.19782,5.66433,6.65702,5.92634,5.38321,6.08507,5.59842,5.90119,5.40851,5.58803,5.31067,5.51523,5.37643,6.45158,5.05857,5.92264,6.306,6.1145,5.3332,5.7134,5.6917,5.9244,5.3751,5.8625,5.9436,5.4811,6.2952,5.1523,5.8492,5.1696,5.5994,5.5096,5.8247,6.1348,5.6327,5.8487,5.3209,6.3151,5.7256,5.80359,5.44225,6.16868,5.89208,6.02578,5.50422,5.59702,6.22813,5.78657,5.47973,5.52221,5.54193,6.30505,5.47548,6.29597,5.5424,6.33363,6.27884,6.10856,5.38993,6.06849,6.17272,6.11546
"RPL13A",6.4993,6.1948,6.2379,6.0817,6.2358,5.6069,5.7284,5.9327,5.7386,6.0096,5.6759,6.0607,5.8207,5.6322,5.8855,5.3008,5.6848,5.9524,5.9859,5.6788,5.704,5.6005,5.3615,5.93964,5.92294,5.97308,5.64637,6.00284,5.73801,6.05134,6.09862,5.75141,6.67235,5.74498,5.49179,6.1091,5.6102,5.97904,5.38769,5.67225,5.37051,5.43853,5.41817,6.16574,5.15233,6.05003,6.2708,6.1298,5.493,5.8333,5.7057,5.8601,5.4141,5.8861,6.0247,5.5319,6.1373,5.1659,5.9001,5.2652,5.7101,5.5597,5.6218,5.9631,5.6133,5.7203,5.3699,6.1658,5.6463,5.83155,5.59235,6.17605,5.98649,5.95013,5.58539,5.68148,6.2012,5.81031,5.61235,5.63748,5.56707,6.23405,5.50654,6.43959,5.51408,6.03837,6.30383,6.06841,5.33997,6.07631,6.21769,6.17915
"HLA-E",6.4497,6.0318,6.159,6.0794,5.8485,5.6517,5.7556,5.7733,5.5306,6.1066,5.647,5.8119,5.8155,5.4826,5.8283,5.327,5.6324,5.925,5.9957,5.5142,5.7818,5.925,5.36,5.91157,5.77868,5.90672,5.7469,6.10137,5.5746,5.95474,6.26609,5.78021,6.38609,5.87641,5.54722,5.75452,5.66324,5.80833,5.19925,5.56818,5.34729,5.62578,5.60118,6.12499,4.99514,5.97272,6.3214,6.3121,5.5568,5.8259,5.6376,6.0505,5.5648,5.7648,5.6981,5.5686,6.1132,5.1308,5.8956,5.2136,5.9536,5.8749,5.8295,6.3354,5.779,5.8527,5.5469,6.3865,5.6681,5.64267,5.69776,6.00451,5.96418,6.18833,5.72039,5.54496,6.08038,5.69306,5.47324,5.58196,5.53498,5.89796,5.65627,6.21645,5.61922,6.51389,6.40667,6.18973,5.32949,6.00509,6.09375,6.05479
"UBB",6.4483,5.8861,5.7479,5.8749,5.3135,5.4888,5.8188,5.6264,5.6275,5.87,5.8774,5.9389,6.1755,5.6885,5.8546,5.1582,5.459,5.8644,6.1308,5.6467,5.6521,5.6986,5.2347,6.14041,6.10455,5.8495,5.76426,5.96844,5.70903,5.85057,6.45492,5.6926,6.8075,6.29412,5.22582,6.24383,5.33593,5.48962,4.89635,5.29095,5.31978,5.5709,5.39415,6.31075,4.99382,5.71409,6.5325,6.4751,5.301,5.7522,5.6468,5.8774,5.5855,5.3238,5.3697,5.4333,6.372,4.9983,5.8553,5.1269,5.7845,5.4859,6.0914,6.5723,5.7301,5.6796,5.436,6.5876,5.9582,5.55893,5.33434,6.11425,6.2199,6.14801,5.58275,5.43553,6.15968,5.71072,5.48987,5.33093,5.45157,5.92092,5.51193,6.34649,5.55977,6.70654,6.70608,6.27042,5.31369,6.23125,6.37585,6.30994
"RPL24",6.5356,6.2277,6.2695,5.9676,6.3682,5.5228,5.5546,5.9812,5.7375,6.2437,5.576,6.0939,5.7631,5.6777,5.785,5.176,5.6803,5.9705,5.9173,5.6489,5.6989,5.6678,5.224,5.90356,5.89591,5.85588,5.67477,6.02589,5.62022,6.02165,6.01523,5.75804,6.47107,5.69575,5.55909,5.8154,5.64292,5.98921,5.51157,5.60944,5.31889,5.35632,5.46331,6.24836,5.18877,6.06373,6.2738,6.08,5.4368,5.7749,5.6089,5.8375,5.3684,5.8573,6.0239,5.4838,6.145,5.0766,5.8138,5.1863,5.667,5.5958,5.4018,5.957,5.4872,5.9113,5.4477,6.3821,5.6823,5.9539,5.53304,6.20936,6.06924,5.79514,5.53768,5.64643,5.79664,5.83149,5.54042,5.67639,5.36126,6.03525,5.38517,6.38344,5.54734,6.02843,6.38046,5.67348,5.31317,6.18158,6.25577,6.27857
"HLA-B",6.278,5.7934,6.0407,6.0085,5.7545,5.5088,5.572,5.7249,5.541,5.8482,5.6001,5.7862,5.5956,5.3678,5.7467,5.242,5.6023,5.8708,5.9457,5.4651,5.666,5.8191,5.3616,5.83956,5.75391,5.99962,5.92034,6.14226,5.61225,5.87787,6.17975,5.77053,6.42281,5.84874,5.40232,6.01076,5.58542,5.75874,5.23132,5.47663,5.28463,5.52821,5.59049,6.06892,5.02817,6.03773,6.2032,6.245,5.4375,5.8128,5.6358,6.0312,5.5155,5.6209,5.7232,5.5836,6.1137,5.1317,5.9116,5.1705,5.8388,5.9189,5.9185,6.3155,5.7898,5.9831,5.4489,6.1802,5.5578,5.68163,5.62768,5.92764,5.81589,6.21686,5.67154,5.52735,6.41668,5.59914,5.45896,5.56677,5.58139,6.25973,5.64355,6.17558,5.76416,6.36628,6.3671,6.37312,5.46937,5.95802,5.94713,5.88518
"IFITM2",6.2256,5.9879,5.9524,5.9139,5.5525,5.4854,5.6207,5.4873,5.2701,5.9392,5.5822,5.8085,5.6763,5.2345,5.7096,5.2191,5.5506,5.7943,5.7218,5.4104,5.6452,5.9041,5.2266,5.94642,5.73051,6.02001,5.63943,6.16955,5.37959,5.98365,6.2058,5.84291,6.37199,5.96507,5.60687,5.87847,5.57243,5.77075,5.2162,5.61897,5.41069,5.48375,5.68509,5.88373,4.94779,6.02331,6.2589,6.3664,5.5399,5.9174,5.6478,6.1363,5.5229,5.4556,5.5742,5.463,6.153,5.1605,6.0436,5.2331,5.8383,5.9792,5.7871,6.2143,5.6945,6.056,5.626,6.4305,5.7114,5.74759,5.54909,5.85123,5.89338,6.23568,5.84984,5.5526,6.09749,5.59083,5.60848,5.64019,5.48921,5.79003,5.66224,6.24681,5.75428,6.5479,6.30243,6.02163,5.50516,6.09824,6.17695,5.86262
"TYROBP",6.3599,5.9491,5.9896,5.7663,5.6418,5.4583,5.4047,5.5249,5.1205,5.8307,5.4283,5.6751,5.5086,4.793,5.727,5.1737,5.6698,5.6424,5.822,5.3427,5.6528,5.7967,5.2203,5.85939,5.84195,5.9331,5.60268,6.09374,5.34174,5.91537,6.35136,5.89375,6.57167,5.76491,5.53652,5.97167,5.69295,5.57619,5.08355,5.62499,5.48514,5.64693,5.71443,6.28164,5.03459,6.17901,6.1631,6.3353,5.5017,5.9192,5.6885,6.1909,5.5066,5.6664,5.5096,5.5274,5.9723,5.2624,5.9993,5.3173,5.8815,5.8868,5.919,6.3746,5.7306,6.1636,5.6422,6.4739,5.5264,5.66378,5.63094,5.73045,5.9185,6.16937,5.8989,5.53329,6.11059,5.51717,5.60909,5.59293,5.49029,5.8097,5.71436,6.1609,5.75788,6.45081,6.51469,6.11428,5.46719,6.02971,6.13603,5.96359
