"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"PLA2G16",0,0.0783005,0.1732,0,0.0976,0,0,0,0,0,0,0,0,0,0,0,0.2317,0,0.7088,0,0.0967999,0.1286,0.1578,0,0.120344,0.330547,0.195875,0,0,0,0,0.323999,0,0,0,0,0,0,0,0,0,0,0,0,0.501605,0,0.0205002,0,0.0340996,0,0,0,0,0.1501,0.0118999,0,0,0,0,0,0,0,0,0,0,0,0.1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249103,0,0,0,0,0,0.0023737,0,0,0,0
"GCFC2",0,0,0,0,0.1017,0,0,0,0.0516005,0.4203,0,0.2357,0,0.132,0,0,0,0,0,0.1917,0,0,0,0,0.0301456,0,0,0,0.109397,0,0,0,0,0,0.109085,0,0,0.663784,0.270358,0.0858812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4304,0.9422,0.1008,0.1783,0,0,0,0,0,0,0,0,0,0,0,0,0.463539,0.298701,0.672036,0,0,0,0.0138569,0,0.620087,0,0.0969715,0.17267,0,0,0.14022,0,0,0,0,0,0,0,0.435231
"EIF2AK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250154,0,0,0,0,0,0,0,0,0,0.17422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310589,0,0,0,0,0,0.134753,0,0,0,0.00894451,0,0,0,0,0,0,0,0,0,0.000879288
"ZMYND19",0,0,0.0214996,0.1946,0.3961,0,0,0,0,0,0,0,0,0,0.000300407,0,0,0,0,0,0.1476,0,0,0,0,0.00280762,0,0,0,0,0,0,0.0288296,0,0,0,0,0.151653,0,0,0,0,0,0,0,0.128684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBF1",0,0,0.1261,0,0.3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439118,0.541928,0.204201,0.167358,0,0,0,0,0,0,0,0,0.151653,0,0,0,0,0,0,0,0.487933,0.235,0,0,0,0.0788002,0,0,0,0,0.0419998,0.1971,0,0,0,0,0,0,0,0,0,0,0,0.0418997,0,0,0.380313,0.136006,0,0,0,0,0,0.136649,0,0,0,0,0,0.0399256,0,0,0,0.122596,0,0,0.164323
"PLEKHA8P1",0,0.0732002,0,0.1233,0,0,0,0,0,0.0528002,0.1107,0,0.124,0,0,0,0,0,0.1184,0,0.1392,0,0,0,0,0,0,0.114591,0,0,0,0,0,0,0,0,0,0.106398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449112,0,0.746535,0,0,0,0,0,0.256147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153243
"EFEMP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171774,0.791827,0.499936,0,0,0,0,0,0,0.228122,0,0,0,0,0,0,0,0.0155153,0,0,0.0525398,0,0.4496,0,0.1064,0,0,0.3436,0,0,0,0,0,0,0,0,0,0,0,0.5715,0,0,0,0,0,0,0.11994,0,0,0,0,0,0.532011,0.0538473,0,0,0,0,0,0,0,0,0,0.0157528,0.0656872,0,0
"TMEM175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135002,0,0,0,0,0,0,0,0,0,0.0881929,0.137809,0,0,0,0,0.112776,0,0,0,0,0,0,0.271296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2078,0,0,0,0.1134,0,0,0,0.37178,0.181994,0.210099,0,0,0,0.0552044,0.0481548,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3195,0,0,0,0,0.648216,0.213822,0,0.640095,0.497358,0,0,0,0.208953,0,1.31506,0,0,0,0,0,0.124446,0.112926,0,0,0,0.2307,0,0.3504,0,1.5326,0.7844,0.1853,0,0.3852,0.5144,0,0.6879,0,0,0.4367,0,0,0,0.2176,0.4346,0,0,0.10097,0,0,0,0,0,0,1.12946,0,0,0,0,0.807686,0,0.800098,0,0.310484,0,0,0,0.590117,0,0
"ATRN",0,0,0.0497999,0,0,0,0,0,0.0740995,0,0,0,0,0,0,0,0,0,0.4125,0,0.0574999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176416,0,0,0,0,0,0,0,0.5771,0,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292619,0,0,0.316104,0,0.314071,0,0,0,0,0,0,0,0,0,0,0.526867,0,0,0,0
