"","GSM416567","GSM416568","GSM416569","GSM416570","GSM416571","GSM416572","GSM416573","GSM416574","GSM416575","GSM416576","GSM416577","GSM416578","GSM416579","GSM416580","GSM416581","GSM416582","GSM416583","GSM416584","GSM416585","GSM416586","GSM416587","GSM416588","GSM416589","GSM416590","GSM416528","GSM416529","GSM416530","GSM416531","GSM416532","GSM416533","GSM416534","GSM416535","GSM416536","GSM416537","GSM416538","GSM416539","GSM416540","GSM416541","GSM416542","GSM416543","GSM416544","GSM416545","GSM416546","GSM416547","GSM416548","GSM416549","GSM416550","GSM416551","GSM416552","GSM416553","GSM416554","GSM416555","GSM416556","GSM416557","GSM416558","GSM416559","GSM416560","GSM416561","GSM416562","GSM416563","GSM416564","GSM416565","GSM416566"
"ARNT",0.09410381,-0.044447422,-0.14144897,0.25999832,0.11479092,0.022198677,-0.05035782,-0.06995773,-0.14336967,0.021943092,-0.31382942,-0.28214216,-0.05502224,-0.34968424,0.067111015,-0.33834028,-0.35273552,-0.1293168,0.07564592,-0.5165043,-0.23568058,-0.058629036,-0.0957613,-0.022594452,0.17034245,0.17430782,0.31682205,0.21112967,0.4479723,-0.1405735,0.11536789,0.13222122,-0.06249714,0.21547604,0.7661438,0.34745026,-0.044278145,0.39370632,-0.4096794,0.31447887,-0.26605988,0.022221565,-0.14603138,0.018500328,0.01279211,-0.63915443,0.08969879,0.12607765,-0.57349014,-0.02247858,0.27225208,-0.052825928,-0.01332283,-0.03661251,0.3239746,-0.14954948,0.09863472,0.2210617,-0.24771786,0.24032593,0.2209568,-0.1443598751,0.2181902
"C1orf124",0.2136321,-0.035037994,0.037446022,0.20405006,-0.46320915,-0.23896694,-0.6234026,-0.23512363,-0.006835938,-0.34864807,0.12804604,0.08289528,-0.06194496,0.100328445,0.26106644,0.140975,0.024543762,0.15214825,0.3160591,0.14454365,-0.010620117,-0.06964207,-0.028881073,-0.14970493,-0.1395855,0.19315815,0.18259382,-0.06493759,-0.15707016,-0.47426605,-0.08272362,-0.06583309,-0.17100048,-0.03730011,-0.13938189,0.24302769,-0.247756,-0.1331644,-0.31439304,-0.121171713,-0.09891415,0.06434727,0.28731346,0.2439127,0.031625748,0.13865185,0.19852257,-0.059231758,-0.073431015,0.20618534,0.24790668,0.15319347,0.11493492,-0.15581512,-0.03324318,-0.26737118,0.0914402,0.19329739,0.11280346,0.19735432,0.3962822,-0.06781101,0.051568985
"LOC388692",-0.46219063,-0.099051476,-0.09530735,0.030778885,-0.053792953,-0.12615395,0.4377365,-0.01862812,-0.51305676,0.14111328,0.26586723,0.34792233,0.1572771,-0.04818821,0.043600082,0.0201025,-0.014391899,0.03608799,-0.0522166733,-0.015076637,0.09051895,0.09335804,-0.12721825,-0.028948784,0.53835106,-0.10317898,-0.4950204,0.17428207,-0.111904144,-0.37238503,-0.24835682,0.0709219,-0.27861214,-0.122125626,-0.8685627,-0.6635132,-0.00599575,0.2251072,-0.23795986,-0.31165886,0.16110134,0.24704552,0.0384264,0.34710503,-0.21122074,0.548275,0.18644238,0.36938763,-0.6231327,0.36449718,1.0927305,0.051517487,-0.12354374,0.07384014,0.31894493,0.21381855,0.17610645,0.3052807,-0.24630833,-0.2762642,-0.009631157,0.1409893,-0.36793613
"LOC595101",0.51629305,-0.108947754,-0.16587687,0.33278275,-0.41092396,-0.006280899,-0.65117407,-0.2526965,-0.50455856,0.2001915,-0.13762951,0.12192774,0.4108219,0.07247877,0.3525486,-0.041094303,-0.16327095,0.024952412,0.39861965,-0.26361084,-0.13941765,0.022740364,0.11294603,-0.036280632,0.18752241,0.43512726,0.5311761,0.34444475,-0.41686296,-0.38131857,-0.17282772,-0.09196806,-0.012809277,0.033204556,0.18033361,0.02807045,-0.16499662,-0.35406637,-0.51567364,0.18931007,-0.30550385,0.117875576,0.12509632,0.0815250408,0.15062428,-0.17288208,0.019133091,0.07916927,-0.34741116,0.24570274,-0.072087765,0.3019066,0.11197853,-0.030322075,0.26508856,-0.23633671,-0.058464527,0.12441158,-0.29309368,0.23165226,0.25286913,-0.10898113,-0.008463383
"PREPL",0.36904716,0.1933844091,0.07604408,0.18140507,-0.037115097,-0.11054516,-0.31253147,0.23684597,-0.16806984,-0.12813377,0.5686321,0.058556557,0.12038708,0.09733391,0.36723995,-0.006137848,0.26678658,0.09660244,0.34387493,0.25510406,0.25872993,-0.024344444,0.15730381,0.05570221,-0.28832245,0.15005064,0.11209822,0.11266136,-0.2651043,0.112215996,-0.16771889,-0.49151802,-0.24822044,0.046232224,-0.10396004,-0.16401863,-0.27036285,-0.636117,-0.4902897,-0.25048828,-0.31892967,0.00586319,-0.009953499,0.21760654,-0.069272995,0.001475334,-0.049337387,0.22913933,-0.010062218,0.1166687,-0.20148468,0.1604929,-0.08665943,-0.07568741,-0.03139305,-0.12539482,-0.05670166,0.07189655,-0.07097721,0.06764126,0.17488003,0.08656025,-0.123633385
"LIX1L",-0.014220238,0.14322186,0.23532677,0.022744179,-0.10202503,-0.14830971,-0.26666546,-0.24196339,0.0231798977777778,-0.21869278,0.16975212,-0.058428764,0.07924557,0.41008854,0.30224228,0.41785908,0.35826397,0.110663414,0.2827139,0.5611706,0.000831604,0.03508377,0.18913841,0.09429836,0.120069504,-0.029289246,0.059080124,0.0862093,-0.48725224,-0.28006554,-0.25375366,-0.22098637,-0.30103683,-0.083566666,0.007300377,0.21364784,-0.0627718,-0.30172825,-0.047644615,-0.58105373,-0.083086014,0.059893608,-0.042425156,-0.023075104,-0.2940607,0.20351791,0.08176899,0.027169228,0.23972034,0.14462757,0.66187954,-0.120518684,-0.20017529,-0.11840439,-0.19181919,-0.15155983,-0.11965656,-0.065633774,0.08353329,-0.10423088,0.00374794,0.16487598,-0.40328217
"ACADVL",0.6891327,0.16013288,-0.19072771,0.6940179,-0.5232105,-0.22224903,-0.70530796,-0.36826277,-0.77106476,-0.11245394,-0.33802366,0.18044996,0.6250286,-0.068870544,0.16930246,-0.024950981,0.06883621,0.03899145,0.47176743,-0.5743537,-0.02116108,-0.24130583,0.1121521,0.009448051,-0.033590317,0.5589433,0.7615328,0.29427242,-0.25990677,-0.57464266,-0.2321496,-0.24872923,-0.09471512,0.01654625,0.21087265,-0.35387754,-0.35195494,-0.10541105,-0.50360346,-0.11775255,-0.78569174,0.07494593,0.00712204,0.20229292,0.44522572,-0.07531452,0.18543386,0.05592823,-0.32684422,0.50211334,0.037523746,0.40375566,0.177425491777778,-0.08068752,0.28271675,-0.21666956,0.2381463,0.27281523,-0.102464676,0.33197165,0.24496937,-0.037136078,0.11460829
"UBIAD1",0.081679344,0.1615076,0.08893967,0.274436,0.20569801,-0.13024235,0.22347832,0.19677258,0.4226942,-0.002370834,-0.110886574,0.067575455,0.19167423,0.2505579,0.16366768,0.04071331,-0.000598907,0.17233753,0.07302666,0.13302612,0.16001987,0.032889366,0.10558128,0.20279694,0.16140556,-0.017885208,0.066467285,0.09793854,-0.050361633,0.077035904,-0.15428638,-0.16289711,0.002706528,-0.018418312,-0.050686836,0.039361954,0.18627739,-0.34273815,0.21170998,-0.27682304,0.051085472,-0.14889908,-0.14659595,-0.025066376,-0.36922455,-0.029270172,-0.1056242,-0.0878808767777778,-0.15979767,-0.29147053,-0.40749168,-0.075862885,-0.024009705,-0.14732838,-0.0390234,0.074539185,-0.18510914,-0.026231766,-0.18318081,-0.077653885,-0.2526102,0.114806175,-0.25671577
"SCC-112",-0.13124752,-0.26820755,-0.20994377,-0.18625546,0.35642624,0.061929703,0.25046825,0.012972832,0.070840836,-0.1335764,0.14892578,0.005252838,0.021169662,-0.26225567,-0.28603268,0.036001205,0.20420456,0.11091137,-0.34010506,0.123262405,0.26075554,-0.20612144,-0.07808399,0.33984852,-0.15281963,-0.30028725,-0.16258717,-0.32168007,0.36907482,0.533061,0.047045708,-0.2427969,0.07418537,0.3380127,-0.008136749,0.0251598346,0.04739952,0.092074394,0.11282444,0.20424366,0.3688736,-0.12302303,-0.008792877,0.08439922,-0.45740032,0.2554474,-0.14264297,-0.066143036,0.14640236,-0.04408455,-0.4247837,-0.22295189,-0.09620476,-0.1000433,-0.16265106,0.33316326,-0.23974228,0.28989887,-0.0518713,0.063708305,-0.12606525,-0.017271042,0.16012478
"PIB5PA",0.5785017,0.2090292,-0.13423109,0.6498418,-0.6625333,-0.25938225,-0.5429306,-0.035645485,-0.6347189,-0.050610065,-0.53582,0.08275318,0.24808979,0.069438934,0.19577312,-0.0231389521,-0.13959265,0.10949373,0.43332148,-0.5217824,-0.25656986,-0.018149376,0.1508789,-0.027190685,0.21635294,0.58103895,0.65735435,0.46880913,-0.25640965,-0.21404457,-0.17904902,-0.10025263,-0.023701191,0.1283989,0.30563354,-0.27429533,-0.23976135,-0.13739443,-0.320045,0.011136532,-0.6050949,0.023702145,0.14341974,0.020476818,0.19561005,-0.82941294,0.23296022,-0.062570095,-0.6371155,0.21105957,0.17815113,0.37989187,0.17674637,0.18295288,0.26974297,-0.17862463,-0.015243053,0.31755018,-0.292387,0.5954895,0.3747096,-0.167696,-0.048869133
"CSNK2A2",-0.17958641,0.3327713,0.26254272,-0.06625271,0.0402807126666667,-0.30747223,0.09903431,0.13439083,0.2926302,0.06971741,0.37837505,0.07267475,0.1578989,0.250803,0.3027029,0.3414688,0.30115032,0.2349453,-0.001649857,0.794796,0.008274078,-0.007100105,0.24548435,0.36784077,0.020544052,-0.30611038,-0.15261841,-0.07876682,-0.24654484,-0.44494343,-0.20723248,-0.6140251,0.079006195,-0.2927246,-0.2198782,-0.4267664,-0.30583382,-0.30337238,-0.2992754,-0.017683983,-0.032234192,0.012014389,-0.24043274,0.25991917,0.24180889,0.7058859,0.026189804,0.11856651,0.8838692,0.018458366,-0.24632645,-0.13667679,-0.14323139,0.1095438,-0.16803837,0.09818077,-0.18353939,-0.38277817,-0.31803226,-0.40508938,-0.5041952,0.08299637,-0.13257217
