"","sample","group"
"40","GSM416567","Control"
"41","GSM416568","Control"
"42","GSM416569","Control"
"43","GSM416570","Control"
"44","GSM416571","Control"
"45","GSM416572","Control"
"46","GSM416573","Control"
"47","GSM416574","Control"
"48","GSM416575","Control"
"49","GSM416576","Control"
"50","GSM416577","Control"
"51","GSM416578","Control"
"52","GSM416579","Control"
"53","GSM416580","Control"
"54","GSM416581","Control"
"55","GSM416582","Control"
"56","GSM416583","Control"
"57","GSM416584","Control"
"58","GSM416585","Control"
"59","GSM416586","Control"
"60","GSM416587","Control"
"61","GSM416588","Control"
"62","GSM416589","Control"
"63","GSM416590","Control"
"1","GSM416528","Disease"
"2","GSM416529","Disease"
"3","GSM416530","Disease"
"4","GSM416531","Disease"
"5","GSM416532","Disease"
"6","GSM416533","Disease"
"7","GSM416534","Disease"
"8","GSM416535","Disease"
"9","GSM416536","Disease"
"10","GSM416537","Disease"
"11","GSM416538","Disease"
"12","GSM416539","Disease"
"13","GSM416540","Disease"
"14","GSM416541","Disease"
"15","GSM416542","Disease"
"16","GSM416543","Disease"
"17","GSM416544","Disease"
"18","GSM416545","Disease"
"19","GSM416546","Disease"
"20","GSM416547","Disease"
"21","GSM416548","Disease"
"22","GSM416549","Disease"
"23","GSM416550","Disease"
"24","GSM416551","Disease"
"25","GSM416552","Disease"
"26","GSM416553","Disease"
"27","GSM416554","Disease"
"28","GSM416555","Disease"
"29","GSM416556","Disease"
"30","GSM416557","Disease"
"31","GSM416558","Disease"
"32","GSM416559","Disease"
"33","GSM416560","Disease"
"34","GSM416561","Disease"
"35","GSM416562","Disease"
"36","GSM416563","Disease"
"37","GSM416564","Disease"
"38","GSM416565","Disease"
"39","GSM416566","Disease"
