Cell,Count_Disease,Count_Normal,Proportion_Disease,Proportion_Normal
B cells,5032,6862,0.283540880148758,0.399394680169955
Neutrophils,8703,5292,0.490392742435341,0.308014667365113
Monocytes,1635,2243,0.0921282470276666,0.13055119026832
T cells,1933,2178,0.108919817433932,0.12676794133054
NK cells,302,448,0.0170169606130614,0.0260753157557767
Bas.Eos,85,93,0.00478954189440469,0.00541295617251615
Dendritics,57,65,0.00321181044683608,0.00378324893778011
