"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CUTC",0.127092804816026,0.0302969588444444,1.78014538833428,0.0795149773607238,0.303050927257449,-4.94026924814018,"NOT"
"CCDC17",0.164749262310577,0.00103659618571429,1.77987226677435,0.0795600941150622,0.303160678621825,-4.94072911489668,"NOT"
"NUP153",0.122330711145513,-0.00452981415396825,1.7794058560032,0.0796371893545362,0.303392212766584,-4.94151428290506,"NOT"
"PTGES",0.217883976069551,-0.0564115765063492,1.779265280297,0.0796604379472707,0.303406135634342,-4.94175089501865,"NOT"
"CDKN1B",0.351824133314103,-0.160233776031746,1.77918625080459,0.0796735104233592,0.303406135634342,-4.94188390723585,"NOT"
"C12orf62",-0.173031806035256,0.0158068585376984,-1.77869619948145,0.079754610899785,0.303652726393607,-4.94270857832461,"NOT"
"MAPK6",-0.13152546113141,-0.0208327413492063,-1.77826239871931,0.0798264594715691,0.303863998185219,-4.94343841719837,"NOT"
"ZNF341",0.111749617834615,-0.0095665539,1.77814853726259,0.0798453267658845,0.303873548453815,-4.94362995417438,"NOT"
"TCF4",-0.133178826585256,-0.0148509777968254,-1.77798327272789,0.0798727183442974,0.3039155296935,-4.94390794122682,"NOT"
"APS",0.156932846269231,-0.00294473766666667,1.77752598418692,0.0799485517875306,0.304141777187214,-4.94467701163014,"NOT"
"CSGlcA-T",0.0943289206474359,0.00886412431746032,1.77706877327927,0.0800244321367283,0.3043681104365,-4.94544577166447,"NOT"
"ACO1",0.116885474523718,0.0026113384968254,1.77662930714502,0.0800974238711544,0.30452856795111,-4.94618452594849,"NOT"
"STX4A",0.0980531513951923,-0.00648832717619048,1.77661737229375,0.0800994069234024,0.30452856795111,-4.94620458643451,"NOT"
"PARP4",0.154829323391667,0.106664441946032,1.77645388338128,0.0801265757622526,0.304569525549336,-4.94647937157862,"NOT"
"STRBP",-0.132070664133333,-0.0295912901777778,-1.77596791048778,0.0802073806749174,0.304814301026446,-4.94729603819844,"NOT"
"ATP6V1E1",0.162986573298789,-0.015106345654321,1.77455303019018,0.0804430246214098,0.305647295022972,-4.94967255610762,"NOT"
"RHOG",0.21249561966859,0.0100924932888889,1.77433975590501,0.0804785945967751,0.305719912725909,-4.95003063501682,"NOT"
"KLHL21",0.159873706529558,-0.00528965708289241,1.77401651449717,0.0805325298272252,0.30586225190565,-4.95057326966652,"NOT"
"FOSL2",0.12599853270641,0.0308145630920635,1.77313205822238,0.080680261330084,0.306360697969673,-4.95205757224617,"NOT"
"CDC16",-0.147022224784936,-0.00381853064603175,-1.77256579215253,0.0807749633079691,0.306657616678691,-4.95300753161473,"NOT"
"SPHAR",0.165186776377244,-0.0307192771730159,1.77222724474643,0.0808316258163993,0.306810028844592,-4.95357534177687,"NOT"
"MEP1B",0.128641765880769,0.0126714477952381,1.77154522980795,0.080945874480368,0.307122877362301,-4.9547189145382,"NOT"
"FRG1",0.303720034289423,-0.0437593434619048,1.77153782904586,0.0809471149637072,0.307122877362301,-4.95473132161564,"NOT"
"EIF2B4",-0.12280257760641,0.0299018548031746,-1.77047066421067,0.0811261536745457,0.30773931604214,-4.95651988654253,"NOT"
"MLH3",-0.124478283475,0.0296089767,-1.77028174322516,0.081157883236724,0.307796822990075,-4.95683641536696,"NOT"
"ZFYVE1",0.125086074400641,-0.0209185745079365,1.77018121023219,0.0811747721001789,0.307798033585002,-4.95700484145881,"NOT"
"OLFML2B",0.154392386416026,-0.0600926559984127,1.76982645523084,0.0812343918435399,0.307961237323591,-4.95759910415538,"NOT"
"ZNF146",-0.216508467677707,0.104710297001764,-1.7692580551787,0.0813299922719254,0.308210620472793,-4.95855102533579,"NOT"
"CMTM1",0.146464356935897,-0.0129162187301587,1.76923805300175,0.0813333581803203,0.308210620472793,-4.95858451867442,"NOT"
"ECHDC1",0.351465681359615,0.0107967751809524,1.76899356528647,0.0813745092038554,0.308284289962487,-4.95899388176048,"NOT"
"RPL39L",-0.119255209451923,0.0251994247380952,-1.76892168874329,0.0813866104103986,0.308284289962487,-4.9591142199523,"NOT"
"ZBTB4",-0.159386615169551,0.0369041145920635,-1.7688268119083,0.0814025862546296,0.308284289962487,-4.95927305921445,"NOT"
"INPP1",-0.119091295322436,-0.0171760570269841,-1.76850800785881,0.0814562871589821,0.308368234008686,-4.95980673228295,"NOT"
"SPHK1",0.155024727939459,-0.0148754119329806,1.76849812451575,0.0814579524268207,0.308368234008686,-4.95982327544806,"NOT"
"SLC7A6OS",-0.126313083989744,-0.0316082545650794,-1.76821290817486,0.0815060213691372,0.308487337602505,-4.96030064659152,"NOT"
"NCOA6IP",-0.178166764844231,-0.00302885569523809,-1.76788707115912,0.0815609651062253,0.308632407376908,-4.96084591945939,"NOT"
"RHBDL2",0.167513462005769,0.0486974526047619,1.76688784779161,0.0817296490872814,0.309207731455262,-4.96251750234,"NOT"
"DHX34",0.155229033940385,0.0627906654095238,1.7666886563857,0.0817633101609977,0.309272093168539,-4.96285062325306,"NOT"
"HPS5",-0.130571661590456,-0.0360072028059965,-1.76622838239742,0.0818411351829761,0.309503446082851,-4.96362023901595,"NOT"
"DKFZP586D0919",-0.141362944355128,-0.0120614653746032,-1.76598009341056,0.0818831424031633,0.309599278095087,-4.96403532272476,"NOT"
"ANXA4",0.210176801126923,-0.0501231604333333,1.76580449950634,0.0819128613650069,0.30963208251723,-4.96432884443199,"NOT"
"NTSR1",0.147601109589103,-0.018545087831746,1.76573187624696,0.0819251553387265,0.30963208251723,-4.96445023326644,"NOT"
"COP1",0.476898023275641,0.190271357087302,1.76548666229512,0.081966677500938,0.309702668897761,-4.96486007162201,"NOT"
"GATAD2A",0.137830327809473,0.0649735830176367,1.76537730761173,0.0819852001910653,0.309702668897761,-4.9650428248741,"NOT"
"C9orf23",-0.124414627947293,0.021911540627866,-1.76532625784244,0.0819938482794568,0.309702668897761,-4.96512813558278,"NOT"
"XRCC6",-0.184908137810897,-0.00127808141269841,-1.7650904998699,0.0820337966802769,0.309790568638509,-4.96552208824331,"NOT"
"DDX42",-0.104865426025641,0.00206657086507937,-1.76422103351286,0.0821812643478693,0.310284383440248,-4.96697455647028,"NOT"
"PAGE2",0.175527424228989,-0.0562317299118166,1.7625237239762,0.0824697732354667,0.31131040593823,-4.9698080827117,"NOT"
"STAM2",0.105432745482051,-0.00984698680634921,1.76206205391071,0.0825483929995673,0.311502153029689,-4.97057837535489,"NOT"
"MT1G",0.146515497328205,-0.0308626110587302,1.76202851198382,0.0825541074162985,0.311502153029689,-4.97063433261906,"NOT"
"PSMB6",-0.162004259951567,-0.00765514406525573,-1.76105413930755,0.0827202508687238,0.312065674276485,-4.97225943389271,"NOT"
"PIGK",-0.0847716245429487,0.0391017251222222,-1.760798283633,0.0827639235400208,0.31216703424963,-4.97268602544786,"NOT"
"AK3",-0.151847389201923,-0.015147315452381,-1.76059340806951,0.0827989080526092,0.312235589927988,-4.97302757648938,"NOT"
"E2F6",-0.110233820383974,0.0175535922444444,-1.76035939698623,0.0828388827268363,0.312322931912667,-4.97341765549653,"NOT"
"RALA",-0.145724965849359,-0.0385762242698413,-1.75935796082875,0.0830101325352977,0.312851201658522,-4.97508644130304,"NOT"
"C18orf21",0.118728852867949,0.000111150930158729,1.75926627000832,0.083025826693232,0.312851201658522,-4.97523919098428,"NOT"
"HIST1H2BF",0.150295972880128,-0.0313106400444444,1.75923673455954,0.0830308826189158,0.312851201658522,-4.97528839317026,"NOT"
"KRT3",0.189897763343269,-0.0142190648523809,1.75914629990935,0.0830463649536052,0.312851201658522,-4.97543904076366,"NOT"
"TCERG1",-0.0884990889423077,-0.00236187404761905,-1.75874146033213,0.0831157024526114,0.313048923106186,-4.9761133430076,"NOT"
"HMG2L1",0.386789312705128,0.146992578936508,1.75827312585372,0.0831959746224541,0.313287740641943,-4.97689322620603,"NOT"
"ACTR10",0.114838070367308,0.00584825982857143,1.7580798553381,0.083229119747201,0.313349032919336,-4.97721501032435,"NOT"
"ADPRH",0.138295211146234,0.00777980701388888,1.75792292598902,0.0832560405490288,0.313386871173001,-4.97747626481754,"NOT"
"MGC26718",-0.14078421375,-0.0538557549047619,-1.75772812419185,0.0832894682954116,0.313449182142538,-4.97780053944711,"NOT"
"MASTL",0.110891949297009,0.0170658361005291,1.75757925118049,0.0833150222098649,0.313481841719759,-4.97804833716689,"NOT"
"DKFZp686I15217",0.139340336740385,0.0429720389047619,1.75736658011372,0.083351538260976,0.313555725948945,-4.97840229297712,"NOT"
"NOMO1",0.131558329647756,0.0348984974968254,1.75710683041989,0.0833961557812131,0.313660050575383,-4.97883455043614,"NOT"
"GPBAR1",-0.189627660471154,-0.0229134024285714,-1.75650195728098,0.0835001322108637,0.313987541690082,-4.97984091280941,"NOT"
"PPP1R9B",0.161274700569872,-0.0125820316412698,1.75579790201106,0.0836212929666089,0.314368499118023,-4.98101189260293,"NOT"
"HMGN4",-0.195727680757479,-0.037255601962963,-1.75571662843624,0.0836352886865456,0.314368499118023,-4.9811470387025,"NOT"
"TSC22D4",0.182387080758333,0.0959028712968254,1.75545794376574,0.0836798483999393,0.314411670074877,-4.9815771556266,"NOT"
"MAP2K3",0.289722413596154,0.138400633404762,1.75545343420225,0.0836806253687658,0.314411670074877,-4.98158465319915,"NOT"
"CALCOCO1",0.136115865969872,0.0485226142349206,1.75494975984582,0.0837674428085036,0.314674219941509,-4.98242194863216,"NOT"
"PDHA1",-0.108081017211538,-0.00567438028571428,-1.75472305831499,0.0838065432612859,0.314757449984158,-4.98279874003144,"NOT"
"SDHA",-0.113772900883903,-0.00548389113580247,-1.75443559239904,0.083856145797461,0.314880081733098,-4.98327646165481,"NOT"
"IL4R",0.188956289642628,0.103132996436508,1.75397080389371,0.0839363969203154,0.315117726190739,-4.98404871369093,"NOT"
"IL1RN",0.212301695125641,0.0611598032206349,1.75366349884272,0.0839894915900371,0.315253343256522,-4.98455920254492,"NOT"
"PAX7",0.137548083072756,0.012348908668254,1.75323047003291,0.084064355363407,0.315470599036495,-4.98527840274802,"NOT"
"LMAN1L",0.137127531084295,-0.0492780095888889,1.75291186072879,0.0841194730766696,0.315557479607075,-4.98580746479942,"NOT"
"KCTD1",0.128272723692308,-0.0427906864761905,1.75290025466353,0.0841214814284149,0.315557479607075,-4.98582673542801,"NOT"
"ZNF322A",0.0919758456871795,0.00916035211587302,1.75272471972219,0.0841518614099277,0.315573112818819,-4.98611817822016,"NOT"
"ARHGEF12",0.192153538364744,0.0479291252079365,1.75267986811351,0.0841596253716854,0.315573112818819,-4.98619264162272,"NOT"
"RIC3",-0.127628480966524,-0.0720367041446208,-1.75255746860189,0.0841808161470719,0.315588867961253,-4.98639584253288,"NOT"
"PCGF4",-0.224842485551282,-0.0959593011746032,-1.75182180466018,0.0843082731393782,0.316002922081737,-4.98761687864916,"NOT"
"BAP1",-0.118483240206731,-0.000460579642857146,-1.75170846912424,0.0843279231991094,0.316012810439108,-4.98780494851576,"NOT"
"FLJ40142",-0.140540442013462,-0.0144338436333333,-1.75130387981707,0.0843981015971525,0.316212007920271,-4.98847623666664,"NOT"
"EAF2",0.135922686288141,0.0253428853920635,1.75108115776906,0.0844367546580856,0.316293033782738,-4.98884571321974,"NOT"
"TMEM126A",-0.167515758671795,-0.00144131055873016,-1.75078178369906,0.0844887336219077,0.316423934629145,-4.98934228133067,"NOT"
"MYO5C",0.152506812298077,-0.0112715683333333,1.75049317807783,0.084538867958072,0.31649632564848,-4.98982091466509,"NOT"
"CYP2C19",0.161705042178846,-0.0212672322761905,1.75047435468653,0.0845421386664384,0.31649632564848,-4.98985212951547,"NOT"
"POLG",-0.0938320102916667,-0.00598534793650794,-1.74992096993419,0.0846383402735795,0.316733577687456,-4.9907696712995,"NOT"
"ZNF551",-0.115996423836859,-0.010901277131746,-1.74991364342315,0.0846396145370656,0.316733577687456,-4.99078181727594,"NOT"
"AP3M1",0.104495630686538,0.0264405844190476,1.74975148016557,0.0846678228444322,0.316775322690468,-4.9910506415667,"NOT"
"HN1",0.132758619649359,0.0379695781936508,1.74943932641014,0.0847221438906438,0.316914729140676,-4.99156804694442,"NOT"
"HLA-F",0.25605334491916,-0.115027944186949,1.74926814574625,0.084751945008971,0.316962377790748,-4.99185174893098,"NOT"
"HBD",0.433455399413462,-0.0290482091964286,1.74507924596921,0.085483902434433,0.319635461276575,-4.99878622630803,"NOT"
"ERF",0.137725804207051,-0.0157935132825397,1.74414192454957,0.0856484006740118,0.320186091954205,-5.00033583033416,"NOT"
"SDCCAG33",-0.102838313163462,-0.00543649828571428,-1.74256117395553,0.0859264119075631,0.321148704793424,-5.00294744733347,"NOT"
"RRAS",-0.190766633258013,0.0109395623253968,-1.74248134050933,0.0859404721968189,0.321148704793424,-5.00307928582755,"NOT"
"IMPA2",0.209812806199359,-0.0468835475015873,1.74229815962055,0.0859727412489016,0.321204674464923,-5.00338177345004,"NOT"
"HSPA5",0.110974733467949,0.0211314762777778,1.74106966635357,0.0861894106609392,0.321949425384598,-5.00540964127023,"NOT"
"NBPF11",-0.146986704705128,0.0275730334206349,-1.7408713484109,0.0862244302360384,0.322015483728317,-5.00573688135161,"NOT"
"PTPN18",0.125611524653526,-0.0470933206507936,1.74071277595083,0.0862524398864523,0.322055341373013,-5.00599851380777,"NOT"
"ALKBH6",-0.079142075786218,-0.000811356411111111,-1.74053715778551,0.0862834691933376,0.322077394689434,-5.00628824499159,"NOT"
"POLD3",0.165729477682051,-0.00875790576825397,1.74046185997442,0.0862967761002289,0.322077394689434,-5.00641246157669,"NOT"
"NISCH",-0.111488250533974,0.0190674451301587,-1.74038499754363,0.0863103612599053,0.322077394689434,-5.00653925421014,"NOT"
"PRKAR2A",0.0959034842269231,-0.031710748847619,1.74017156482887,0.086348093987291,0.322105694736378,-5.00689130703692,"NOT"
