"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TRIB1",0.603053807397115,0.0327551722809524,5.31558122919433,1.27159891874392e-06,5.41771135655665e-05,5.18342882540754,"UP"
"GAA",0.525499799189103,0.0738609442063492,5.30632926978243,1.31803797114769e-06,5.57719210752608e-05,5.14932910737733,"UP"
"C9orf142",-0.613208264808333,0.00618273016507936,-5.30210664318103,1.33978301983048e-06,5.64349418965329e-05,5.13377368587994,"DOWN"
"ACSL4",0.663857246211538,0.0943239559047619,5.28896375237269,1.40974524150031e-06,5.85848492306704e-05,5.0853890337233,"UP"
"MANSC1",0.743742041655128,0.0327706683222222,5.2747192496024,1.48962698197839e-06,6.1084571340465e-05,5.03300296270729,"UP"
"GPR97",0.641879195519231,0.0844041887857143,5.2657136782329,1.54240630535274e-06,6.29708561060054e-05,4.99991298021155,"UP"
"EDG4",0.508909910066667,0.0114651428031746,5.2596381846452,1.57904640430468e-06,6.40444672628028e-05,4.9776020963011,"UP"
"GYG1",0.589280551683405,0.0703333745308642,5.25787413590003,1.58984425952483e-06,6.43348209676428e-05,4.97112596911748,"UP"
"ROCK1",0.511519037259615,0.0541307532380952,5.256134372959,1.60056448116819e-06,6.44947631283739e-05,4.96473985811665,"UP"
"BANF1",-0.612484301317628,-0.0189438349888889,-5.25157223687806,1.62901417331323e-06,6.54990633841268e-05,4.94799777788077,"DOWN"
"PPP4R1",0.54238226038141,0.0868504181111111,5.24858519993406,1.64790990473606e-06,6.61157114263005e-05,4.93703916675374,"UP"
"CTAGE5",0.537408185403205,0.0314760460222222,5.24373000024119,1.67908372890912e-06,6.6646708009008e-05,4.91923217587514,"UP"
"MOSC1",0.788088191001923,-0.00316021771904761,5.22454415208031,1.80803646123153e-06,7.08567200502888e-05,4.84893154172931,"UP"
"ELOVL5",0.699549432875321,0.0442254457984127,5.22243022933602,1.82282597693225e-06,7.11987795973638e-05,4.84119215724407,"UP"
"MYADM",0.709918397965456,0.070260153372134,5.22041599745399,1.83702850416306e-06,7.15401289168409e-05,4.83381894882403,"UP"
"BASP1",0.751806468392308,0.0605452554095238,5.21967081676319,1.84231032307881e-06,7.15957250240836e-05,4.83109146851963,"UP"
"CDC25B",-0.590864696544872,0.00900969367460317,-5.20959588358436,1.91520150906222e-06,7.39403458596006e-05,4.79423129284966,"DOWN"
"BEX2",-0.577641368060897,-0.000982665936507938,-5.17789257046185,2.16353533661981e-06,8.15209582414798e-05,4.67843347202508,"DOWN"
"SH3GLB1",0.608463374271474,-0.0282108994587302,5.17665915592321,2.1738099005681e-06,8.17422929412005e-05,4.67393430020037,"UP"
"TLR2",0.634176127601282,0.121879862265079,5.17248045427158,2.20897637371362e-06,8.2896858824453e-05,4.65869481868093,"UP"
"TLR8",0.626302328116026,0.0302781236492063,5.14242046126807,2.47893342750278e-06,9.1548046420063e-05,4.54921990708656,"UP"
"PBEF1",0.728113306167023,-0.0307585412028219,5.13680645273167,2.53282083649963e-06,9.26174800370417e-05,4.52880415846463,"UP"
"RFX2",0.518213829825855,0.00664569927513228,5.1323566892655,2.57634766083465e-06,9.40240356535646e-05,4.51262897963598,"UP"
"DACH1",0.503234170532051,0.0396314205079365,5.12804432449276,2.61923009067343e-06,9.4843700125438e-05,4.49695892779551,"UP"
"FGR",0.514716630288462,0.0662364473809524,5.12190237012498,2.68151682587427e-06,9.67023143605209e-05,4.47465027187891,"UP"
"NCF1C",0.57019491719391,0.122626321611111,5.10640183156119,2.84524091096624e-06,0.000101640759927132,4.41840031221864,"UP"
"FBL",-0.572710134565385,-0.0617063667904762,-5.10478483707807,2.8628746636887e-06,0.000102074394918774,4.4125365957579,"DOWN"
"STX11",0.623000326833654,0.0227708680047619,5.09170869447097,3.00946517071872e-06,0.000106851032277001,4.36514780720471,"UP"
"FLJ10357",0.711922978076282,0.0923834488984127,5.09130542743096,3.01410103968284e-06,0.000106851032277001,4.36368717242171,"UP"
"MAFB",0.642740368309295,0.0837381172301587,5.08650319473387,3.06984733171018e-06,0.000108619969588283,4.34629730055315,"UP"
"C1orf19",-0.549598269285898,-0.0249252084507937,-5.0777708892163,3.1738166270736e-06,0.000111682153256921,4.31469399320689,"DOWN"
"PLXNC1",0.599680839580769,0.124306993847619,5.07399709599149,3.21980925999829e-06,0.000113064606453173,4.30104343766356,"UP"
"KYNU",0.602428656014103,0.0636483339015873,5.05378943412362,3.47742330002426e-06,0.000120741336862151,4.22802343122824,"UP"
"FCGR1A",0.75738784470641,0.151821585511111,5.05229003064058,3.49732344146748e-06,0.000121009200352625,4.22261042965969,"UP"
"TXNDC13",0.671118642701923,0.00491656190476191,5.04805636938615,3.55411697431028e-06,0.000122613983121479,4.20733026776056,"UP"
"VPREB3",-0.9467418837,0.0182976077095238,-5.04453442633354,3.60205062479763e-06,0.000123681501675121,4.19462311930153,"DOWN"
"MAX",0.628635258804167,0.0989994077412698,5.04073693729049,3.65444406714031e-06,0.000125043440822806,4.18092616077403,"UP"
"CREG1",0.563463161375356,0.0854676961463845,5.04068411420699,3.65517809898705e-06,0.000125043440822806,4.18073566796901,"UP"
"C17orf49",-0.535609210382051,0.0259670785730159,-5.03866752949845,3.68330890731433e-06,0.000125774165923292,4.17346403187525,"DOWN"
"NOV",0.578175026467308,0.0473945540857143,5.02460344811529,3.88548232322391e-06,0.000132191794205508,4.12278575746742,"UP"
"CA4",1.08353324825641,0.125967494117064,5.0232757986636,3.9051196293087e-06,0.00013241851075858,4.11800495605997,"UP"
"LILRB3",0.675244594963141,0.0544449788492064,5.01247927850416,4.06846177834432e-06,0.000136418314069538,4.07914797627712,"UP"
"TMEM91",0.64858844659359,-0.0378248742444444,5.01076509335636,4.09500409521753e-06,0.000137060893824794,4.07298198555078,"UP"
"LEF1",-0.757344847397756,-0.0907405529253968,-5.00751782703818,4.14575016727592e-06,0.000138456489541834,4.06130401028919,"DOWN"
"GZMM",-0.637462761044872,0.0468776011269841,-5.00714550893357,4.15160770213185e-06,0.000138456489541834,4.0599652770182,"DOWN"
"C6orf32",0.511340560648504,0.0474788545502646,4.98659629921584,4.48777799888888e-06,0.00014599818582725,3.98614594092165,"UP"
"CD46",0.538794401355769,-0.0391042806428571,4.95770461438096,5.00588126806714e-06,0.000159339072814846,3.88258835545128,"UP"
"ALOX5",0.641488760469231,0.046414620447619,4.92163718590751,5.73533000300106e-06,0.000180881986648128,3.75369383544984,"UP"
"SKAP2",0.901262002516026,-0.0552677440793651,4.91769071467995,5.82119349238505e-06,0.000182659612017812,3.73961641235493,"UP"
"RPAIN",-0.523815353254274,-0.0477506861693122,-4.9058588244654,6.08622403036841e-06,0.000188744069429255,3.69744210938996,"DOWN"
"ALPK1",0.584654002903846,0.037470424047619,4.89301918620713,6.38717958634824e-06,0.000195779666097156,3.65172878451425,"UP"
"LTA",-0.505537119290385,-0.00603590899523809,-4.87909093861256,6.73010689292858e-06,0.000204303417692662,3.60220247224373,"DOWN"
"GPR160",0.604531793691595,0.0889147196067019,4.87831321198341,6.7497768650901e-06,0.000204541362228244,3.59943895325921,"UP"
"SAP30",0.760448930937821,0.210222687346032,4.86970575516833,6.97126082110339e-06,0.000209707197372517,3.56886754127586,"UP"
"M6PRBP1",0.528448896438462,0.103417918561905,4.86268913338038,7.15705113012156e-06,0.000213744986805688,3.54396501875555,"UP"
"EGFL5",0.554551763238782,0.0787629311507936,4.85847608369062,7.27092251884048e-06,0.000216103450735969,3.52902066520099,"UP"
"MAP4K1",-0.557933195447116,0.0468840505,-4.85114388208407,7.4733349401535e-06,0.00022141095669584,3.50302668326415,"DOWN"
"CRIP2",-0.529029860549501,-0.0709454781199294,-4.84660167455758,7.60147775425053e-06,0.000223779795186938,3.48693299471135,"DOWN"
"CLEC4E",0.664460979176923,0.0159354392761905,4.84614794908847,7.61439537215516e-06,0.000223789814931831,3.48532577059324,"UP"
"NELL2",-0.798089054730769,-0.00326098928571428,-4.83406035902228,7.96653650675163e-06,0.000231922940892002,3.44253424461095,"DOWN"
"ARID3A",0.590198674400997,0.113420293828924,4.83237998065889,8.01673263729174e-06,0.000232322660640143,3.4365895008411,"UP"
"ADAM8",0.51357753289968,0.0196680878587302,4.82226800718584,8.32538470432534e-06,0.000240143394825384,3.4008366379797,"UP"
"IBRDC2",0.605922722135897,0.0601394237984127,4.81424076635746,8.57863922233363e-06,0.000246682356337569,3.37248008670967,"UP"
"DSC2",0.789118159714744,0.125037242460317,4.80959884183077,8.72850595686975e-06,0.000250603905185182,3.35609256770534,"UP"
"PLSCR1",0.508336573050641,0.0430074625301587,4.80451446865592,8.89559135848494e-06,0.000254413083570483,3.33815171547023,"UP"
"RAB32",0.527369183021474,0.0738845497793651,4.7979843572134,9.11477438545647e-06,0.000257052350617876,3.31512270130562,"UP"
"HIST2H2AC",0.628066368538141,0.136537467868254,4.7965444566311,9.16380942922705e-06,0.000257529385714556,3.31004678245815,"UP"
