"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Drug_name"
"CP-690334-01 PC3 DOWN","1/20",0.00499044069595166,0.037229275963085,0,0,262.842105263158,1393.12388948095,"CYP1B1","CP-690334-01"
"NVP-BEZ235 CTD 00004861","1/20",0.00499044069595166,0.037229275963085,0,0,262.842105263158,1393.12388948095,"PTEN","NVP-BEZ235"
"deferoxamine MCF7 DOWN","1/20",0.00499044069595166,0.037229275963085,0,0,262.842105263158,1393.12388948095,"CYP1B1","deferoxamine"
"DIETHYL PHTHALATE CTD 00000348","1/20",0.00499044069595166,0.037229275963085,0,0,262.842105263158,1393.12388948095,"CYP1B1","DIETHYL PHTHALATE"
"acacetin TTD 00001549","1/20",0.00499044069595166,0.037229275963085,0,0,262.842105263158,1393.12388948095,"CYP1B1","acacetin"
"Nobiletin CTD 00000424","1/21",0.00523943997247116,0.037229275963085,0,0,249.6875,1311.24405900402,"CYP1B1","Nobiletin"
"CP-690334-01 MCF7 DOWN","1/21",0.00523943997247116,0.037229275963085,0,0,249.6875,1311.24405900402,"CYP1B1","CP-690334-01"
"Rutaecarpine CTD 00001353","1/21",0.00523943997247116,0.037229275963085,0,0,249.6875,1311.24405900402,"CYP1B1","Rutaecarpine"
"pramocaine PC3 DOWN","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","pramocaine"
"Oltipraz CTD 00001231","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","Oltipraz"
"syrosingopine PC3 DOWN","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","syrosingopine"
"calyculin A CTD 00002466","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","calyculin A"
"thiostrepton MCF7 DOWN","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","thiostrepton"
"Amentoflavone CTD 00000591","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","Amentoflavone"
"lomustine MCF7 DOWN","1/22",0.00548838944332051,0.037229275963085,0,0,237.785714285714,1237.70327900363,"CYP1B1","lomustine"
"Butyl 4-hydroxybenzoate CTD 00001781","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","Butyl 4-hydroxybenzoate"
"FLAVONE CTD 00001977","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","FLAVONE"
"tracazolate HL60 DOWN","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","tracazolate"
"IN1541 CTD 00001481","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"PTEN","IN1541"
"biotin CTD 00005513","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","biotin"
"alvespimycin MCF7 DOWN","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","alvespimycin"
"PHENANTHRENE CTD 00001483","1/23",0.00573728911332865,0.037229275963085,0,0,226.965909090909,1171.31850515834,"CYP1B1","PHENANTHRENE"
"carbon monoxide CTD 00005586","1/24",0.00598613898759602,0.037229275963085,0,0,217.086956521739,1111.11804759418,"PTEN","carbon monoxide"
"skimmianine HL60 DOWN","1/24",0.00598613898759602,0.037229275963085,0,0,217.086956521739,1111.11804759418,"CYP1B1","skimmianine"
"tanespimycin ssMCF7 DOWN","1/24",0.00598613898759602,0.037229275963085,0,0,217.086956521739,1111.11804759418,"CYP1B1",NA
"pantothenic acid CTD 00006468","1/24",0.00598613898759602,0.037229275963085,0,0,217.086956521739,1111.11804759418,"CYP1B1","pantothenic acid"
"STOCK1N-35874 PC3 UP","1/24",0.00598613898759602,0.037229275963085,0,0,217.086956521739,1111.11804759418,"CYP1B1","STOCK1N-35874"
"Fludioxonil CTD 00003504","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"PTEN","Fludioxonil"
"Vemurafenib BOSS","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"PTEN","Vemurafenib"
"CHRYSENE CTD 00001482","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"CYP1B1","CHRYSENE"
"5253409 MCF7 UP","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"CYP1B1","5253409"
"1,4-NAPHTHOQUINONE CTD 00001683","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"CYP1B1","1,4-NAPHTHOQUINONE"
"carnosol CTD 00002718","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"CYP1B1","carnosol"
"nifuroxazide HL60 DOWN","1/25",0.00623493907047315,0.037229275963085,0,0,208.03125,1056.29666076894,"CYP1B1","nifuroxazide"
"1-NAPHTHOL CTD 00001379","1/26",0.00648368936979889,0.037229275963085,0,0,199.7,1006.18157701364,"CYP1B1","1-NAPHTHOL"
"Prochloraz CTD 00002021","1/26",0.00648368936979889,0.037229275963085,0,0,199.7,1006.18157701364,"CYP1B1","Prochloraz"
"celastrol MCF7 DOWN","1/26",0.00648368936979889,0.037229275963085,0,0,199.7,1006.18157701364,"CYP1B1","celastrol"
"Temsirolimus BOSS","1/26",0.00648368936979889,0.037229275963085,0,0,199.7,1006.18157701364,"PTEN","Temsirolimus"
"indolo[3,2-b]carbazole CTD 00002853","1/26",0.00648368936979889,0.037229275963085,0,0,199.7,1006.18157701364,"CYP1B1","indolo[3,2-b]carbazole"
