"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_PYRIMIDINE_METABOLISM","Pyrimidine Metabolism",88,-0.468090673542952,-1.55355741849966,0.00170731786594904,0.019653093953699,0.0146960150358405,3825,"tags=49%, list=21%, signal=39%","POLR3D/POLR3B/DHODH/NME4/POLA1/POLE/POLR2J2/POLD1/TXNRD2/POLE4/NT5E/CAD/NUDT2/DUT/DCTD/POLR2G/POLR3C/POLR2F/POLR3K/NT5C/UCK2/POLD4/PRIM1/NME6/AK3/RRM1/POLA2/POLR3A/POLR1E/POLR2H/UPRT/POLE3/POLR2D/POLR2L/NME1/POLR2I/CTPS2/UCKL1/ENTPD6/ITPA/POLR1C/POLR3H/NME3"
"KEGG_PRIMARY_IMMUNODEFICIENCY","Primary Immunodeficiency",35,-0.616304545904371,-1.73939648327428,0.00171830329649827,0.019653093953699,0.0146960150358405,1668,"tags=49%, list=9%, signal=44%","CD40/TNFRSF13C/CIITA/LCK/CD8A/CD3D/TNFRSF13B/CD3E/UNG/ICOS/CD8B/CD40LG/CD19/CD79A/RFX5/IL7R/ADA"
"KEGG_REGULATION_OF_AUTOPHAGY","Regulation Of Autophagy",34,0.588810306264826,1.70686152555925,0.00187816982417107,0.0202179457543121,0.0151183948694885,4164,"tags=47%, list=22%, signal=37%","GABARAP/GABARAPL2/PIK3C3/ATG3/ULK1/GABARAPL1/ULK2/ATG4C/ATG7/IFNA10/IFNA8/ATG12/BECN1/ATG5/ATG4D/PRKAA1"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","Toll Like Receptor Signaling Pathway",96,0.445278503696094,1.54928927430732,0.00245849368168248,0.0225916840351873,0.0168934076765853,3579,"tags=38%, list=19%, signal=30%","PIK3CG/TLR1/PIK3CA/MAPK1/LY96/TLR4/MAP2K4/FOS/IKBKB/CASP8/PIK3R1/CHUK/MAPK14/FADD/TLR6/PIK3CB/MAP2K7/TLR2/TLR8/TBK1/MYD88/TICAM2/MAP3K8/TLR5/IFNAR1/IFNA10/STAT1/MAPK3/IRF7/PIK3CD/RAC1/IFNA8/TRAF6/CD14/PIK3R3/IL1B"
"KEGG_PARKINSONS_DISEASE","Parkinsons Disease",87,-0.477401470521265,-1.57728863577719,0.00248465841520136,0.0225916840351873,0.0168934076765853,2433,"tags=46%, list=13%, signal=40%","HTRA2/UBB/UBE2G1/NDUFA1/SDHB/NDUFA10/NDUFB6/UBE2J2/UQCRH/NDUFV2/NDUFS4/UQCRC1/PARK7/COX5A/COX7C/COX4I1/NDUFB5/COX5B/SLC25A5/NDUFS5/SDHA/UQCRFS1/SLC25A4/VDAC3/NDUFS7/COX8A/CYC1/NDUFB7/NDUFB2/CYCS/NDUFA3/UBE2L3/NDUFA8/NDUFA7/NDUFA9/NDUFS3/NDUFB8/NDUFS8/UBE2G2/NDUFV1"
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Starch And Sucrose Metabolism",49,0.533385294362618,1.6570824403212,0.00253929179417276,0.0225916840351873,0.0168934076765853,2442,"tags=24%, list=13%, signal=21%","PYGL/HK2/MGAM/UGP2/AMY2B/AMY1A/GBE1/PGM2/GAA/AMY1B/HK3/UGDH"
"KEGG_VEGF_SIGNALING_PATHWAY","Vegf Signaling Pathway",69,0.483198963642533,1.59205856012787,0.0027167586616206,0.0225916840351873,0.0168934076765853,3200,"tags=32%, list=17%, signal=26%","PXN/CDC42/PIK3CG/PPP3CA/PIK3CA/PTGS2/MAPKAPK2/MAPK1/RAF1/PLA2G2D/PIK3R1/MAPK14/PIK3CB/KRAS/PLCG2/PPP3R1/PLA2G4A/NFATC1/PLCG1/MAPK3/PIK3CD/RAC1"
"KEGG_ASTHMA","Asthma",29,-0.604755745984484,-1.64866175631309,0.00281334448167888,0.0225916840351873,0.0168934076765853,2417,"tags=38%, list=13%, signal=33%","HLA-DQB1/HLA-DRA/HLA-DMB/HLA-DQA1/HLA-DPA1/TNF/HLA-DMA/HLA-DPB1/HLA-DOB/HLA-DOA/CD40LG"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","Natural Killer Cell Mediated Cytotoxicity",129,0.392931683491582,1.42759812028109,0.00305455774811483,0.0225916840351873,0.0168934076765853,3650,"tags=38%, list=20%, signal=31%","FCGR3B/PIK3CG/PPP3CA/PIK3CA/FCGR3A/FAS/MAPK1/RAF1/HLA-G/PTK2B/VAV3/PIK3R1/TNFSF10/PAK1/PIK3CB/KRAS/LCP2/HLA-E/TNFRSF10C/TNFRSF10B/PLCG2/BID/PTPN11/CD48/PPP3R1/IFNGR2/KLRC2/NFATC1/KIR2DL1/SYK/KIR3DL2/IFNGR1/IFNAR1/IFNA10/PLCG1/HLA-C/MAPK3/BRAF/PIK3CD/ARAF/KLRC1/RAC1/ICAM1/IFNA8/SH3BP2/PIK3R3/KIR2DS4/KIR3DL1/KIR2DL5A"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION","Dorso Ventral Axis Formation",23,0.641047938120984,1.69116679420009,0.00307808325257088,0.0225916840351873,0.0168934076765853,2966,"tags=43%, list=16%, signal=37%","ETV6/MAPK1/NOTCH2/KRAS/ETS2/NOTCH1/PIWIL4/SPIRE1/ETS1/MAPK3"
"KEGG_OXIDATIVE_PHOSPHORYLATION","Oxidative Phosphorylation",91,-0.461692659592156,-1.5462865561805,0.00308629563322232,0.0225916840351873,0.0168934076765853,2433,"tags=34%, list=13%, signal=30%","NDUFS4/UQCRC1/COX5A/COX7C/COX4I1/COX11/NDUFB5/COX5B/LHPP/COX17/NDUFS5/SDHA/PPA1/UQCRFS1/NDUFS7/COX8A/CYC1/ATP6V1E2/NDUFB7/NDUFB2/ATP6V1F/NDUFA3/NDUFA8/NDUFA7/NDUFA9/NDUFA11/NDUFS3/NDUFB8/NDUFS8/COX10/NDUFV1"
"KEGG_HUNTINGTONS_DISEASE","Huntingtons Disease",145,-0.410153769399612,-1.46600963843013,0.0040598591634243,0.0285751625733325,0.0213676798074963,3680,"tags=39%, list=20%, signal=32%","POLR2J2/NDUFA1/SDHB/DNAI2/NDUFA10/NDUFB6/NRF1/DCTN2/TP53/AP2S1/UQCRH/DNAH1/AP2B1/SIN3A/BAX/NDUFV2/AP2A2/NDUFS4/UQCRC1/POLR2G/DNAL4/COX5A/COX7C/COX4I1/NDUFB5/POLR2F/CLTA/COX5B/SLC25A5/NDUFS5/SDHA/UQCRFS1/IFT57/SOD1/SLC25A4/POLR2H/VDAC3/NDUFS7/COX8A/CYC1/NDUFB7/NDUFB2/CYCS/POLR2D/TBP/CREB3L2/POLR2L/NDUFA3/NDUFA8/POLR2I/NDUFA7/HDAC1/NDUFA9/NDUFS3/NDUFB8/NDUFS8/NDUFV1"
"KEGG_ERBB_SIGNALING_PATHWAY","Erbb Signaling Pathway",82,0.449003523527653,1.50464289151775,0.00452110764254047,0.0306430629105521,0.022913995849133,3297,"tags=34%, list=18%, signal=28%","PIK3CG/TGFA/CBL/PIK3CA/CDKN1B/MAPK1/RAF1/MAP2K4/PIK3R1/PAK1/STAT5B/CAMK2G/PIK3CB/KRAS/PLCG2/MAP2K7/GAB1/CRK/NRG1/STAT5A/GSK3B/PLCG1/MAPK3/MYC/BRAF/PIK3CD/ARAF/PAK2"
"KEGG_ENDOCYTOSIS","Endocytosis",154,0.374726992147868,1.40381369700845,0.00551484339234134,0.0360434407428024,0.0269522421430216,3499,"tags=31%, list=19%, signal=26%","RAB11FIP1/CDC42/HSPA1A/CBL/CHMP2A/RAB5A/CLTC/USP8/VPS37A/HLA-G/PRKCI/IQSEC1/ARF6/ARRB2/RAB5C/SH3GLB1/RAB31/HLA-E/HLA-F/GRK5/SH3GL1/EPN1/VPS4B/ARFGAP3/EPS15/VPS36/ITCH/PLD1/PRKCZ/CHMP5/TSG101/VPS37B/VPS37C/STAM2/IGF1R/HLA-C/GIT2/DAB2/VPS4A/EHD1/PLD2/RAB11FIP4/SNF8/TRAF6/CCR5/CHMP2B/CHMP1B/KIT"
"KEGG_PEROXISOME","Peroxisome",69,-0.479834312451873,-1.53578968033198,0.005839686187202,0.0368504335261368,0.0275556879976864,2421,"tags=36%, list=13%, signal=32%","ACAA1/PEX14/PEX7/PXMP4/PEX5/PAOX/AGPS/DECR2/ACOX3/SLC25A17/EPHX2/PEX1/IDH2/DHRS4/ACSL5/SOD1/MLYCD/PRDX1/PXMP2/PEX11B/PMVK/PEX16/GSTK1/ECH1/MPV17"
"KEGG_PATHWAYS_IN_CANCER","Pathways In Cancer",311,0.316491288770192,1.25817007839951,0.00812563961664682,0.0495664016615456,0.037064321058389,3114,"tags=23%, list=17%, signal=20%","CDC42/HIF1A/RHOA/PIK3CG/TGFA/CBL/PIK3CA/FAS/PTGS2/E2F3/RALBP1/BIRC2/CDKN1B/MAPK1/RAF1/PTEN/FOS/CSF2RA/RAD51/EGLN1/IKBKB/CASP8/CTNNB1/MITF/ARNT/PIK3R1/CHUK/STAT3/MMP9/BIRC3/FADD/RALB/STAT5B/VHL/PIK3CB/RBX1/KRAS/PLCG2/BID/WNT16/CSF3R/RXRA/CEBPA/TCF7L2/ITGA6/PIAS1/MAX/PLD1/MSH2/DAPK2/RARA/TRAF5/CRK/STAT5A/DAPK1/ITGA2B/ITGA3/GSK3B/CREBBP/IGF1R/PLCG1/HDAC2/FH/ETS1/STAT1/CDKN2B/MAPK3/MYC/BRAF/CTNNA1/PIK3CD/NCOA4/ARAF"
