"","CYP1B1","DEGS1","HSDL2","OSBPL1A","PTEN"
"Epithelial Cell Signaling In Helicobacter Pylori Infection",2.27204177018017,1.73411640660515,1.68735996635743,2.31809201011217,2.12005180322142
"Fc Gamma R Mediated Phagocytosis",2.61446586530294,1.79980374363861,1.88741889004861,2.37512588803141,2.38546838881666
"Spliceosome",1.75261817011006,2.27764054969472,-1.61253999260274,-3.73848390146354,-1.95528496005823
"Toll Like Receptor Signaling Pathway",2.29604959972339,1.71420521890804,1.54928927430732,1.70560605969853,2.2634366177983
