"","CYP1B1","DEGS1","HSDL2","OSBPL1A","PTEN"
"Epithelial Cell Signaling In Helicobacter Pylori Infection",0.000277688451684752,0.0261461732516811,0.00733896899685657,4.93505127513509e-05,3.61728529745063e-05
"Fc Gamma R Mediated Phagocytosis",2.28499805405839e-06,0.0138625059620829,0.000354835262432934,2.78957838435628e-06,9.15e-09
"Spliceosome",0.0336624390263503,0.000401122395395968,0.019653093953699,6.1e-09,0.000172536680779807
"Toll Like Receptor Signaling Pathway",0.000186767470964622,0.0448165720962828,0.0225916840351873,0.0109396529004003,1.19439021635073e-07
